artista,biografia,Oyentes,N_Reproducciones,artistas_similares
Dragged Under,"'Dragged Under' is an American heavy metal rock band formed in 2019 by former Rest, Repose members, Ryan ""Fluff"" Bruce on lead guitar, Anthony Cappocchi on vocals, Josh Wildhorn on rhythm guitar and Kelun Wertz on drums. <a href=""https://www.last.fm/music/Dragged+Under"">Read more on Last.fm</a>",92089,1508258,"['Beartooth', 'Our Promise', 'Dark Divine', 'Savage Hands', 'Elwood Stray']"
Rain City Drive,"Rain City Drive are an American rock/post-hardcore band from Sacramento, California, United States, formed in 2014 under the name Slaves.

They released three studio albums, ""Through Art We Are All Equals"" on June 24, 2014, ""Routine Breathing"" on August 21, 2015 and ""Beautiful Death"" on February 16, 2018 with founding member and original lead vocalist Jonny Craig.

On January 24, 2019, the band announced that Jonny Craig was removed from the band citing his addictions. <a href=""https://www.last.fm/music/Rain+City+Drive"">Read more on Last.fm</a>",153981,6119814,"['Wind Walkers', 'Nerv', 'Slaves', 'Caskets', 'Dayseeker']"
Hans Glock,"After more than 10 years of raving experience Hans decided to take matters into his own hands and start making the music that inspired him for the last decade. Recently signed by Rebel Records he is ready take the party scene by storm. In his first year as a recording artist he did shows at Defqon.1, Tomorrowland, Parkpop and Decibel Festival. His style can be described as freestyle 2.0 blending (raw) Hardstyle, Freestyle, (Tech) House, Hardcore and (hard) techno together in an epic way. <a href=""https://www.last.fm/music/Hans+Glock"">Read more on Last.fm</a>",13800,84108,"[""Altijd Larstig & Rob Gasd'rop"", 'Deluzion', 'Toza', 'Maxtreme', 'Jay Reeve']"
The Rumpled,"Under the moniker The Rumpled hides the Irish Folk-Rock band est. in Trento (Italy) in 2013.

The 6 pieces ensamble plays a unique combination of Irish Folk, Rock, Ska and Punk, with the traditional instrument pair made of accordion and violin (Tommy and Patty) taking the spotlight as main melody makers; add on top some massive guitars riffs (Davide) and an ever-thumping rhythmic section (Michele on Drums and Luca on bass) laying the foundation for the drizzled vocals of the front-man (Marco) and you’ll have an idea of the Rumpled sound <a href=""https://www.last.fm/music/The+Rumpled"">Read more on Last.fm</a>",25065,238610,"[""The O'Reillys and the Paddyhats"", 'Paddy and the Rats', 'Firkin', 'The Rumjacks', ""Fiddler's Green""]"
Betontod,"BETONTOD (german for Concrete Death) is a german punk band from Rheinberg, Germany, which was founded in the beginning of the 90's. In the beginning they named themselves Extrem, later the Sniffin' Kills and finally settled on Betontod. To this date they have performed over 800 concerts and recorded four studio albums, along with one live one.

Betontod website <a href=""https://www.last.fm/music/Betontod"">Read more on Last.fm</a>",49233,2703784,"['Broilers', 'Unantastbar', 'Sondaschule', 'BRDigung', 'Kärbholz']"
Mayday Parade,"Mayday Parade was born in 2005 when two popular Tallahassee bands, Kid Named Chicago and Defining Moment, decided to merge and form one group. Both bands had been friends for a long time but they each seemed to have different kind of holdups. They pooled their resources, booted out the undedicated members and decided to take the good from each band and move forward. Armed with a dynamic lead singer Derek Sanders of Defining Moment, Mayday Parade explodes with energy and personality. <a href=""https://www.last.fm/music/Mayday+Parade"">Read more on Last.fm</a>",1196381,53655295,"['Go Radio', 'All Time Low', 'State Champs', 'We the Kings', 'Boys Like Girls']"
The Hellfreaks,"The Hellfreaks are a psychobilly band from Hungary. 

’Hellfreaks’ was born in February 2009. Their short history began with a surf-psycho band in  2007 – Los Tiki Torpedoes – in which Campechano as guitarist and Sue as drummer participated, and later they found Bloody H[lly (stand-up bass) and Spinny (drums). The Sick Chicks – Dorothy Doll and Roxie Rocks completed the lineup.

""Hell, Sweet Hell..."" is their debut album.  It's 14 Tracks of wild <a href=""https://www.last.fm/music/The+Hellfreaks"">Read more on Last.fm</a>",27072,355660,"['Kitty in a Casket', 'The Creepshow', 'The Brains', 'HorrorPops', 'Koffin Kats']"
99PRBLMZ," <a href=""https://www.last.fm/music/99PRBLMZ"">Read more on Last.fm</a>",2051,12392,"['The Herbalist', 'S-Kill', 'Desolate One', 'Samynator', 'DMRC']"
archipiélagos,"archipiélagos is a band from buenos aires, argentina, that plays a warm blend of (mostly) instrumental math pop and midwest emo with some gang vocals thrown in the mix.

bandcamp
soundcloud
facebook <a href=""https://www.last.fm/music/archipi%C3%A9lagos"">Read more on Last.fm</a>",34422,188006,"['Fiesta Bizarra', 'No Somos Marineros', 'mil ataris por segundo', 'Cursi No Muere', 'Parachute Day']"
The Dickies,"The Dickies was amongst the first punk rock bands to emerge from Los Angeles, and the first California punk band to be signed to a major record label and appear on network television.

The Dickies' style was campy and humorous with obvious influences from the Ramones. They were extremely popular in the UK and had a top 10 hit with ""Banana Splits (Tra La La Song)"" in 1979; oddly enough, many of their lyrics were about aspects of Southern California life not easily decipherable to those unfamiliar with the region <a href=""https://www.last.fm/music/The+Dickies"">Read more on Last.fm</a>",221638,2289244,"['The Lurkers', 'The Vibrators', 'Dead Boys', 'The Rezillos', 'Angelic Upstarts']"
The Chats,"The Chats is an Australian punk rock band from Sunshine Coast, Queensland, Australia. The current line up consists of Eamon Sandwith (vocals, bass), Josh Hardy  (guitar), and Matt Boggis (drums). Initially formed in 2016, they gained popularity after the song Smoko became a viral sensation. To date, they have released two EPs, The Chats and Get This In Ya, and two full length albums, High Risk Behaviour and GET FUCKED. 

Original guitarist Josh Price left the band December 2020 for personal reasons. <a href=""https://www.last.fm/music/The+Chats"">Read more on Last.fm</a>",269392,7203106,"['Stiff Richards', 'Drunk Mums', 'Amyl and the Sniffers', 'Soft Play', 'Teen Mortgage']"
End It,"There are multiple bands named End It;

1. A hardcore band from Baltimore, USA

2. Groove/thrash/hardcore metal band from the Detroit, Michigan region. Active from 2000 to 2003. After the departure of their vocalist Mike Palm (3), the band changed name to Writhing.

Members:
Gabe Hardy, Greg Mastin, James Bussard, Jeff Uberti, Mike Palm

3. A Crust/Grind band from Caen, France.

https://endit666.bandcamp.com/
https://www.facebook.com/xenditx
xenditx@gmail.com <a href=""https://www.last.fm/music/End+It"">Read more on Last.fm</a>",64512,1736281,"['Trapped Under Ice', 'Haywire 617', 'Restraining Order', 'Drain', 'Mindforce']"
De Jongens Van Zuid," <a href=""https://www.last.fm/music/De+Jongens+van+Zuid"">Read more on Last.fm</a>",103,607,"['South Side Elite', 'DJ Hardbloxx', 'Rotterdams Geschut', 'Reggster', 'Het Legioen']"
All My Wishes Were Thrown Down a Well and Should Die There,"All My Wishes Were Thrown Down A Well And Should Die There was a screamo band from San Diego, CA. The band broke up in September of 2015. Following the breakup, band member PJ moved on to perform bass and vocals in Letters to Catalonia from 2015 to 2017.

Facebook:
https://www.facebook.com/AMWWTDAWASDT

Bandcamp:
https://allmywishes.bandcamp.com/ <a href=""https://www.last.fm/music/All+My+Wishes+Were+Thrown+Down+a+Well+and+Should+Die+There"">Read more on Last.fm</a>",63329,1203123,"['44.caliberloveletter', 'Novely', 'Bright Little Stars', 'Clay Birds', 'Catalyst...']"
Serkan Reçber," <a href=""https://www.last.fm/music/Serkan+Re%C3%A7ber"">Read more on Last.fm</a>",100,489,"['Erkan Doğanay', 'Fikret Delikanlı', 'Özgür Kaplan', 'Eda Doğanay', 'Sinan Kartal']"
Goldfinger,"1) Goldfinger are a ska punk band formed in 1993 and named after the James Bond film. They were founded in California by John Feldmann on vocals and guitar, Simon Williams on bass,  ""Dangerous"" Darrin Pfeiffer on drums, and Charlie Paulson on guitar. 

Before they were signed to a major label, they released an EP titled Richter. Many of the songs on Richter are demo versions of songs on their full length debut, Goldfinger, which was released in 1996. <a href=""https://www.last.fm/music/Goldfinger"">Read more on Last.fm</a>",1161907,23448985,"['Less Than Jake', 'Reel Big Fish', 'MxPx', 'The Mighty Mighty Bosstones', 'Mustard Plug']"
Radera,"Radera, real name Benjamin Laurin, is a Swedish hardstyle DJ and producer, born in 1998. 

He has performed in the Netherlands, Germany, and Sweden, and in 2025, he is set to debut in Poland and Norway. With his superior performances at various Swedish festivals like Summerburst & Owl Festival and growing fanbase in central Europe, this guy is reaching out for more! Radera has played in venues like Annexet (Stockholm, Sweden) PKHS (Tilburg, The Netherlands) Bahnhof Pauli (Hamburg, Germany) Stadium Arena (Norrköping, Sweden) and many more. <a href=""https://www.last.fm/music/Radera"">Read more on Last.fm</a>",3228,35839,"['The Dope Doctor', 'Levenkhan', 'Deluzion', 'Elite Enemy', 'Gezellige Uptempo']"
Noxiouz,"As a true Uptempo master, Noxiouz is taking over and changing the Hardcore scene. The past few years Noxiouz has performed on the biggest festivals throughout the Netherlands such as TITANIUM Festival, BKJN vs. Partyraiser, Defqon.1, Dominator Festival, Decibel Outdoor, Rebirth Festival and many more!

More recently, in 2023, Noxiouz released his brand-new EP and additionally hosted his very own event: The Chemicals of Noxiouz. The EP and event were highly praised by the public and ultimately a great hit! <a href=""https://www.last.fm/music/Noxiouz"">Read more on Last.fm</a>",11405,179121,"['The Dope Doctor', 'Satirized', 'Spitnoise', 'Elite Enemy', 'UDOW']"
Margarita Quebrada," <a href=""https://www.last.fm/music/Margarita+Quebrada"">Read more on Last.fm</a>",26039,386483,"[""VVV [Trippin'you]"", 'La Plata', 'Somos La Herencia', 'Depresión Sonora', 'Leonora Post Punk']"
24kGoldn,"Golden Landis Von Jones (born November 13, 2000 Ohio), known professionally as 24kGoldn, is an American rapper, singer, songwriter, and former child actor. He rose to fame with his 2019 single ""Valentino"", which peaked at number 92 on the Billboard Hot 100. It was certified platinum by the RIAA in April 2020. In July 2020, Golden released the single ""Mood"", featuring Puerto Rican rapper Iann Dior, which topped the Billboard Hot 100 and became the highest charting song of his career. <a href=""https://www.last.fm/music/24kGoldn"">Read more on Last.fm</a>",1146649,22254741,"['iann dior', 'Bankrol Hayden', 'Arizona Zervas', 'The Kid LAROI', 'Lil Mosey']"
Palaye Royale,"Palaye Royale is an American band from Las Vegas, formed in 2008 by Remington Leith, Sebastian Danzig, and Emerson Barrett, whom are all brothers. The brothers' surname was Kropp. Each one's stage name is their first name and their middle name. They formed under the name Kropp Circle in 2008 and changed their name to Palaye Royale in 2011, named after the dance hall (Palais Royale) that their grandparents met at. 

Style:
Fashion-art rock, rock and roll, glam rock, indie rock and garage rock. <a href=""https://www.last.fm/music/Palaye+Royale"">Read more on Last.fm</a>",492858,27455645,"['Andy Black', 'YUNGBLUD', 'Måneskin', 'Friday Pilots Club', 'DEAD POET SOCIETY']"
фрэнк?," <a href=""https://www.last.fm/music/%D1%84%D1%80%D1%8D%D0%BD%D0%BA%3F"">Read more on Last.fm</a>",12739,340311,"['лезвие сеул', 'Uncle Pecos', 'Бортпроводник', 'Узница Совести', 'Chonyatsky']"
Promo,"Sebastian Hoff a.k.a. Promo (and also The Hardcore Brothers / Brian Acardy) was born on the 12th of April 1976.

When he was 19 years old, he already had a hit on the compilation album Thunderdome IX - The Revenge Of The Mummy, his alias being Section-8 (together with The Prophet). A second hit was a remix of the song ""Don't Speak"" by No Doubt, but he mainly produced this track to bully his brother who played in a rock-band. This track, called 'Shut Up' (on Shut Up! / Born Whappie!) was a huge success <a href=""https://www.last.fm/music/Promo"">Read more on Last.fm</a>",43767,690122,"['Unexist', 'Ophidian', 'Tha Playah', 'Bodylotion', 'Lenny Dee']"
Major Conspiracy,"Major Conspiracy is a Dutch uptempo hardcore and frenchcore  DJ duo, consisting of Jari van den Broek and Sunny Laan.

Major Conspiracy started back in 2O18 and has been a part of the BKJN Family ever since 2O2O. From then on, they released Major hits like ‘Cocaine Last’, ‘Major Fans’ & ‘Time Machine’. Jari and Sunny have known each other since kindergarten. In 2012 they started experimenting together in music production programs. Shortly <a href=""https://www.last.fm/music/Major+Conspiracy"">Read more on Last.fm</a>",18708,281247,"['lunakorpz', 'Dimitri K', 'Deadly Guns', 'Partyraiser', 'EQUAL2']"
Lllyric?," <a href=""https://www.last.fm/music/Lllyric%3F"">Read more on Last.fm</a>",77449,522847,"['Dxrkknght', 'Sinnerella', 'Jfarrari', 'Obskuros', 'Jah PHNX']"
Popes Of Chillitown,"Popes Of Chillitown are a 6-piece Ska/Dub/Punk band from London, England. Known for their energetic live shows they mix elements of upbeat ska, punk, 2-tone, drum & bass, reggae and dub, and have been likened to artists such as Capdown, King Prawn, Skindred, The Beat, The Police and Jamie T.

After releasing their pledge-funded, self-released debut album A Word To The Wise in 2013, the band toured across the UK and into Europe playing headline shows <a href=""https://www.last.fm/music/Popes+of+Chillitown"">Read more on Last.fm</a>",12197,210238,"['Faintest Idea', 'Just Say Nay', 'JOYstick!', 'The Bar Stool Preachers', 'Codename Colin']"
Offensywa," <a href=""https://www.last.fm/music/Offensywa"">Read more on Last.fm</a>",2880,96668,"['The Farben Lehre', 'ADHD Syndrom', 'Ga-Ga Zielone Żabki', 'Skowyt', 'REWIZJA']"
Steve Shit,"Real Name: Miroslav Pajic

Aliases:	Billy The Kid, Bold Bob, David Popperfield, Destination (4), E-Cowboy, E-Man (2), Evidence, Frozen, Hypnotizer, Jack Lucifer, M1 (5), Miro, Miro Pajic, Overlord, The, Rat Of Doom, Reign, S.O., Stickhead <a href=""https://www.last.fm/music/Steve+Shit"">Read more on Last.fm</a>",1999,7176,"['White Breaks', 'Chucky Chunk', 'Ferocious', 'DJ Arjuna', 'Hardsequencer']"
Ghost Stories,"Hardstyle collaboration by D-Block & S-te-Fan & Evelyn.


Former Bands Using This Name:

1) An emo band from Athens, OH. An endless revolving door of members anchored by Eric Bishop and Charlie Walden.
http://ghost-stories-ohio.bandcamp.com/
2) Ghost Stories is the musical alias for Ron Lewis a folk player based in Seattle.
3) A former screamo band from Ontario.
4) New Progressive/Hardcore/Ambient band from Ontairo, no connection to other Ghost Stories from Ontairo
5) New dark hardcore band from NH/MA. <a href=""https://www.last.fm/music/Ghost+Stories"">Read more on Last.fm</a>",48751,737121,"['D-Block & S-te-Fan', 'PRIMESHOCK', 'Wildstylez', 'Frequencerz', 'Brennan Heart']"
Lexy & K-Paul,"Lexy & K-Paul are two DJs from Berlin.  Their trancey electro is quietly contagious. Deep and wobbling like jelly but pierced with tight keys.
Sometimes less is more.

It consists of Lexy - Alexander Gerlach (born January 14, 1976 in Dresden) and K-Paul - Kai Michael Paul - formerly Kai Michael Fuchs (born November 5, 1973 in Berlin). Lexy is also a member of the project Die Raketen, which also consists of Adel Dior and Jan-Eric Scholz. K-Paul formed duo Fuchs und Horn together with Horn. <a href=""https://www.last.fm/music/+noredirect/Lexy+&+K-Paul"">Read more on Last.fm</a>",71622,1089762,[]
Дивергенция," <a href=""https://www.last.fm/music/%D0%94%D0%B8%D0%B2%D0%B5%D1%80%D0%B3%D0%B5%D0%BD%D1%86%D0%B8%D1%8F"">Read more on Last.fm</a>",6127,53084,"['Буерак', 'Англия', 'Культурное Наследие', 'SIZOR', 'несогласие']"
Dikke Dennis,"Dikke Dennis (English: ""fat Dennis""), was born in 1965, Amsterdam. His full name is Dennis Overweg. At the age of 15 he decided to leave his parents' house to lead a rock 'n roll life and to discover the world of tattoos.

After that he got married, he became a cab driver and had a normal life just like anyone else. After his wife broke up with him he made his passion for tattoos to his job. After two years being tought by Dave Ayres (Skindeep, Bristol, Engeland) he opened his own shop, Tattoo 666. <a href=""https://www.last.fm/music/Dikke+Dennis"">Read more on Last.fm</a>",693,3892,"['Skroetbalg', 'De Dood', 'Bakfietsboys', 'Karel Anker & De Joden', 'De Hardheid']"
Море Ясности,"Море Ясности (which means Mare Serenitatis, a lunar mare) is a band from Sevastopol (Crimea) playing dreamy and melancholic post-punk influenced by The Chameleons, The Cure, and Interpol. <a href=""https://www.last.fm/music/%D0%9C%D0%BE%D1%80%D0%B5+%D0%AF%D1%81%D0%BD%D0%BE%D1%81%D1%82%D0%B8"">Read more on Last.fm</a>",21023,213356,"['культодиночества', 'Англия', 'Забавные игры', 'Едешь', 'Группа Хмурый']"
Euromasters,"Real Name: Paul Elstak, Rob Fabrie, Otto Van Den Toorn, Vincent Hendriks, Fabian Kruizinga & Rob Christensen
Profile: Famous gabber-act from Holland. Different producers have contributed to this project, although the performances were always done by Rob Christensen (Masters of Ceremony) and Fabian Kruizinga. <a href=""https://www.last.fm/music/Euromasters"">Read more on Last.fm</a>",17747,94522,"['Charly Lownoise & Mental Theo', 'Flamman & Abraxas', 'Party Animals', 'DJ Paul Elstak', 'Rob Gee']"
Paul Elstak,"Dutch Hardcore DJ & producer.

Originally used his full name for happy hardcore productions only and DJ Paul for hardcore gabber, but after the start of Offensive Records he used it for hardcore gabber as well.

Paul Elstak is the owner of Forze Records and a member of the Forze DJ Team.

Although DJ Paul Elstak was one of the people responsible for the dutch Happy Hardcore sound in the mid 90's, he nowadays claims to dislike this kind of music.  <a href=""https://www.last.fm/music/+noredirect/Paul+Elstak"">Read more on Last.fm</a>",117341,1567310,[]
Šank?!,"Šank?! are new punk rock band from Zagreb, Croatia. 

http://www.myspace.com/sankbend.  <a href=""https://www.last.fm/music/+noredirect/%C5%A0ank%3F%21"">Read more on Last.fm</a>",1203,66654,"['Petar Punk', 'Mašinko', 'Pičke Vrište', 'Pankreas', 'Gužva u 16-ercu']"
The Pezheads," <a href=""https://www.last.fm/music/The+Pezheads"">Read more on Last.fm</a>",29371,177324,"['Kuromy', 'Girl Racers', 'Kitten Forever', 'Skinned Teen', 'Queen Chimera']"
Shipping News,"Shipping News began in the fall of 1996 when Jeff Mueller and Jason Noble wrote and recorded music for the NPR program 'This American Life'. They had previously worked together in the seminal post-hardcore band Rodan, based in Louisville, Kentucky. When Rodan split up in 1995, Jeff Mueller went on to play in June of 44 whilst Jason Noble formed the chamber ensemble Rachel's. Like Rodan, both of these bands have garnered enormous critical acclaim from listeners all over the world. <a href=""https://www.last.fm/music/Shipping+News"">Read more on Last.fm</a>",65758,989622,"['June of 44', 'Rodan', 'The For Carnation', 'Faraquet', 'Polvo']"
Kotzreiz,"Kotzreiz ist eine Deutschpunk-Band aus Berlin.

Kotzreiz spielen eingängigen, simplen Deutschpunk im Stil der 1980er Jahre, der bewusst stumpf und minimalistisch gehalten ist. Der Musikstil erinnert teilweise an die Schlachtrufe-BRD-Reihe. Die Texte drehen sich um typische Punkthemen und Klischees, wie Alkoholkonsum und Schnorren. Politische Themen sind die Fahrpreise der BVG, seit Ton Steine Scherben ein beliebtes Thema, sowie Anti-Nazi-Lieder. In dem Lied Tränen setzen sie sich mit dem Thema Deutschrock auseinander. <a href=""https://www.last.fm/music/Kotzreiz"">Read more on Last.fm</a>",17264,350400,"['Knochenfabrik', 'Alarmsignal', 'Slime', 'Mülheim Asozial', 'NoRMAhl']"
Cold Years,"Cold Years are a Scottish rock band established in Aberdeen, Scotland. Emerging in late 2014 from a personal project of frontman Ross Gordon, the current lineup of the band is completed by Finlay Urquhart, Louis Craighead and Fraser Alla.
An infectious brand of driving rock, the band’s influences are deeply rooted in blues, rock ‘n’ roll, punk and Americana. <a href=""https://www.last.fm/music/Cold+Years"">Read more on Last.fm</a>",20188,295992,"['The Gaslight Anthem', 'The Loved Ones', 'The Menzingers', 'MakeWar', 'The Swellers']"
The Pogues,"The Pogues are a Celtic punk band from London, formed in 1982 and fronted by Shane MacGowan. The band reached international prominence in the 1980s and early 1990s. MacGowan left the band in 1991 due to drinking problems, but the band continued first with Joe Strummer and then with Spider Stacy on vocals before breaking up in 1996. The band, including MacGowan, reformed in 2001 and have been playing regularly ever since. While the band have not released an album since 1996 <a href=""https://www.last.fm/music/The+Pogues"">Read more on Last.fm</a>",1262202,24562094,"['Shane MacGowan And The Popes', 'The Pogues & The Dubliners', 'The Dubliners', 'Flogging Molly', 'The Chieftains']"
Gulch,"Gulch is a  5-piece metal band originally from Santa Cruz, California, now based primarily in San Jose, formed in 2016. The band currently consists of Elliot Morrow (vocals), Cole Kakimoto & Christian Castillo (guitars), Mike Durrett (bass) and Sammy Ciaramitaro (drums). The mission statement of Gulch has always been simple: write songs that make you want to slam your head into a brick wall.

Bandcamp <a href=""https://www.last.fm/music/Gulch"">Read more on Last.fm</a>",119851,3984983,"['Sunami', 'Spy', 'Scalp', 'Outta Pocket', 'Hands of God']"
Pasteldrip," <a href=""https://www.last.fm/music/Pasteldrip"">Read more on Last.fm</a>",29380,408333,"['bloody/bath', 'Lea Porcelain', 'Танди', 'Dxrkknght', 'Убей меня, Эйс!']"
The Taxpayers,"The Taxpayers originated in 2007 in Portland, Oregon. Originally a three-piece guitar/bass/drum combination, the band incorporates accordion, horns, piano, harmonica, and other instruments during recording sessions. Currently they perform live with a range from three to eight members.
They strongly support the DIY punk ethic, booking their own shows, printing their own merchandise, printing CDs from scrap material, and hand-written notes and other gifts included with each CD. <a href=""https://www.last.fm/music/The+Taxpayers"">Read more on Last.fm</a>",316549,5965742,"['Ramshackle Glory', 'Rent Strike', 'Mischief Brew', 'Pat The Bunny', 'Defiance, Ohio']"
Paul Baribeau,"Paul Baribeau's warm, witty sounds and gnarly beard bring something truly unique and interesting to the folk-punk table. The South Central Michigan native collaborates often with friends such as Matty Pop Chart and Kimya Dawson, but has two self-released (""25"" and ""Unbearable"") and two Plan-It-X released (""Paul Baribeau"" and ""Grand Ledge"") solo albums, plus a very interesting Bruce Springsteen covers album.

http://www.myspace.com/paulbaribeau <a href=""https://www.last.fm/music/Paul+Baribeau"">Read more on Last.fm</a>",140117,5592479,"['Defiance, Ohio', 'Ramshackle Glory', 'Wingnut Dishwashers Union', 'Nana Grizol', 'Pat The Bunny']"
Yellowcard,"Yellowcard are a multi-platinum selling pop punk band from Jacksonville, Florida, USA. Their final album Yellowcard, released on September 30, 2016. 

Their music features a rare contribution to the genre, incorporating the use of a violin. Formed in 1997, the final line up consisted of William Ryan Key (vocals, rhythm guitar), Ryan Mendez (lead guitar, vocals), Sean Mackin (violin, vocals), Nathan Young on drums, and Josh Portman on bass.
  
Yellowcard was formed in 1997 in Jacksonville <a href=""https://www.last.fm/music/Yellowcard"">Read more on Last.fm</a>",2205849,73973202,"['New Found Glory', 'Sugarcult', 'Good Charlotte', 'The Starting Line', 'Story of the Year']"
Never Surrender,"Never Surrender is the name of at least two acts. 
1) A hardcore/gabber producer from the Netherlands. 
2) A punk rock band.

1) Never Surrender, real name Ramon Robbemont, is a hardcore DJ/producer from the Netherlands. Growing up in a musical family, Ramon not only holds over ten years of experience with playing bass guitar and piano, but he also completed a four year degree at a highly-acclaimed music school. 

Known for his previous aliases The Beatkrusher and Shadowfact <a href=""https://www.last.fm/music/Never+Surrender"">Read more on Last.fm</a>",17214,231406,"['Spitnoise', 'Elite Enemy', 'GridKiller', 'The Dope Doctor', 'Restrained']"
E-Force,"1. After producing and playing hardstyle for a few years as one half of the Beat Providers. Edward Aandewiel decided to start his solo career as E-Force in 2011. A unique mix of raw sounds, screeches and catchy melodies is what E-Force is all about. 

2. Thrash-metal band formed in Montreal, Canada by former Voivod singer Eric Forrest in 2001. After the release of their first album, Evil Forces, in 2003, Eric relocated to Toulouse, France and changed the line-up of his band. <a href=""https://www.last.fm/music/E-Force"">Read more on Last.fm</a>",43190,814281,"['Warface', 'D-Sturb', 'Hard Driver', 'Krowdexx', 'Phuture Noize']"
deactivated," <a href=""https://www.last.fm/music/Deactivated"">Read more on Last.fm</a>",3077,15501,"['fervnt', 'Crisys', 'VERGE!', 'mitza!', 'fadevɇil']"
Sinister Seven,"Sinister Seven is an all-round rave producer from the Netherlands. <a href=""https://www.last.fm/music/Sinister+Seven"">Read more on Last.fm</a>",4080,26502,"['Melolife', 'Captain Core', 'Skull Demon', 'Sghenny Madattak', 'DETHVEDA']"
Good Charlotte,"Good Charlotte is an American pop punk band from Waldorf, Maryland that formed in 1996. Since 1998, the band's constant members have been lead vocalist Joel Madden, rhythm guitarist and back-up vocalist Benji Madden, bass guitarist Paul Thomas, and lead guitarist and keyboardist Billy Martin. Their latest drummer and percussionist is Dean Butterworth, who has been a member of the band since 2005. The band has released seven studio albums: Good Charlotte (2000) <a href=""https://www.last.fm/music/Good+Charlotte"">Read more on Last.fm</a>",2653190,77937940,"['Simple Plan', 'Yellowcard', 'Sum 41', 'New Found Glory', 'Sugarcult']"
pavlos," <a href=""https://www.last.fm/music/Pavlos"">Read more on Last.fm</a>",15053,84899,"['DJ ANEMIA & Crier', 'rivoices', 'DJ Anemia', 'DJ Anemia, crier, sixnite', 'LONOWN & riserayss']"
saraunh0ly,"Saraunh0ly is a SoundCloud artist who commonly self produces UDM or Underground Dance Music. She often uses pop melodies and experiments with her sound add glitches, synths, SFX. Saraunh0ly has played a handful of shows in her local NYC rave and techno scene and has done multiple collaborations with other SoundCloud artists, recently such as ketminh, RoboPup, yeire13, svhymns. She had a side project band called Remove the Balloon, which can be found on any streaming platform. <a href=""https://www.last.fm/music/saraunh0ly"">Read more on Last.fm</a>",244917,6914716,"['whatsaheart', 'BOY FANTASY', 'Rebzyyx', 'Odetari', 'luvwillow']"
The Rills,"The Rills are a British indie rock / post-punk band based in London, United Kingdom.

Formed in 2017, their story began in Sheffield where friends Mitch Spencer, Callum Warner-Webb and Charlie Weight had moved to. The have since relocated to London and, since their début single 'Pyro' (2017), have released a steady stream of singles. <a href=""https://www.last.fm/music/The+Rills"">Read more on Last.fm</a>",68346,604601,"['Second Thoughts', 'Seb Lowe', 'Crawlers', 'The Reytons', 'Himalayas']"
Crisys," <a href=""https://www.last.fm/music/Crisys"">Read more on Last.fm</a>",3860,19496,"['fervnt', 'FixMyBrain', 'VERGE!', 'Angelrot', 'insanex']"
Via Luna,"Via Luna is an Instrumental art/math-rock quartet from Kansas City, Missouri. Our aim is to combine the Jazz influence that makes up a huge part of our city's musical history with our favorite modern Math-Rock influences. The result of this is a guitar-driven, melody-infused, emotional, rhythmic sound that will both awe you with it's technical-prowess and get you tapping your feet and humming the melodies for hours after you hear it. 
At live shows <a href=""https://www.last.fm/music/Via+Luna"">Read more on Last.fm</a>",93680,944157,"['Floral', 'Stage Kids', 'Dios Trio', 'Foster Parents', 'Monobody']"
The Groupies,"There are two bands called The Groupies:

1. The Groupies were a psychedelic rock group from the Lower East Side of New York City. They are probably best known for the song ""Primitive"", which was not a hit in its time but was rediscovered as part of The Nuggets compilation. This song features a Mick Jagger like vocal along with a driving blues beat similar to Howling Wolf's song ""Smokestack Lightning.""

2. The Groupies are polish band from Pińczów (near Kielce), formed summer 2007. <a href=""https://www.last.fm/music/The+Groupies"">Read more on Last.fm</a>",24946,88737,"['The Humane Society', 'The Sparkles', 'The Daily Flash', 'The Del-Vetts', 'The Gestures']"
Enemies,"There is more than one artist with this name: 

1. Enemies formed in 2007 in the small east coast village of Kilcoole, Ireland. With their roots buried deep in DIY culture, the band have spent their seven years together writing, recording, producing and releasing their own records and booking tours with the international support of The Richter Collective, Topshelf Records (and Stiff Slack Records. In those seven years the band have toured America, Europe and Asia, released two highly acclaimed full length albums and three EP's. <a href=""https://www.last.fm/music/Enemies"">Read more on Last.fm</a>",86122,1398269,"['Floral', 'Totorro', 'Stage Kids', 'Hikes', 'Via Luna']"
Smokey Bastard,"Formed in early 2007, Reading-based Folk-Punk outfit Smokey Bastard have been playing raucous live shows around the UK for four years. Started with the intention of being the UK’s answer to the likes of Dropkick Murphys and Flogging Molly, Smokey Bastard were quick to merge the energetic live shows which inspired them with a sound of their own, resulting in the wall of instrumental mayhem they gig with today.
Their forthcoming second album 'Tales From the Wasteland' is due for release in September 2011 on Bomber Records. <a href=""https://www.last.fm/music/Smokey+Bastard"">Read more on Last.fm</a>",48470,465294,"['The Dreadnoughts', 'Sir Reg', 'The Pirates Charles', 'The Stanfields', 'The Rumjacks']"
lannarie," <a href=""https://www.last.fm/music/lannarie"">Read more on Last.fm</a>",39043,318132,"['blawhitt', 'plenka', 'Airshade', 'akiaura', 'VSN7']"
